application,endpoint,energy_consumption,runtime
go-gorilla,/api/register,0.3855762509065242,0.1298160552978515
go-gorilla,/api/register,0.3889759769294868,0.1277499198913574
go-gorilla,/api/register,0.3772413171654989,0.1285860538482666
go-gorilla,/api/register,0.3729707032107397,0.1281499862670898
go-gorilla,/api/register,0.3850522803366516,0.130173921585083
go-gorilla,/api/register,0.3722042712927303,0.1278462409973144
go-gorilla,/api/register,0.3787914536904395,0.128281831741333
go-gorilla,/api/register,0.3807354528144058,0.1287941932678222
go-gorilla,/api/register,0.3937082268444101,0.1293201446533203
go-gorilla,/api/register,0.3712033271262953,0.1279289722442627
go-gorilla,/api/register,0.4540131544780477,0.1295561790466308
go-gorilla,/api/register,0.38067671141431,0.1287062168121338
go-gorilla,/api/register,0.3776502424329918,0.1283979415893554
go-gorilla,/api/register,0.3869848636086315,0.1301221847534179
go-gorilla,/api/register,0.3710895752683425,0.1277580261230468
go-gorilla,/api/register,0.3735512294514362,0.1284098625183105
go-gin,/api/register,0.3881081339943648,0.1307511329650879
go-gin,/api/register,0.3960359632750395,0.1303629875183105
go-gin,/api/register,0.3977583641267301,0.1335930824279785
go-gin,/api/register,0.5112223724324849,0.1696157455444336
go-gin,/api/register,0.3867834727202534,0.1301467418670654
go-gin,/api/register,0.3935363722401915,0.1296601295471191
go-gin,/api/register,0.3983352614133648,0.134516954421997
go-gin,/api/register,0.3880954177633381,0.1290099620819091
go-gin,/api/register,0.3824100001185682,0.1308228969573974
go-gin,/api/register,0.3900019745739198,0.1312978267669677
go-gin,/api/register,0.4075027690640238,0.1375238895416259
go-gin,/api/register,0.3862439682047807,0.1299037933349609
go-gin,/api/register,0.3747730457321267,0.1288471221923828
go-gin,/api/register,0.3813777364558746,0.1288902759552002
go-gin,/api/register,0.3844162047641928,0.1302599906921386
go-gin,/api/register,0.3880962803619921,0.1302571296691894
go-gin,/api/register,0.3881500092347778,0.1305527687072754
go-gin,/api/register,0.3904275655240781,0.129918098449707
go-gin,/api/register,0.3874095372320879,0.1303329467773437
go-gin,/api/register,0.5031594550621321,0.1696157455444336
